100009600	Zglp1
100009609	Vmn2r65
100009614	Gm10024
100012	Oog3
100017	Ldlrap1
100019	Mdn1
100033459	Ifi208
100034251	Wfdc17
100034361	Mfap1b
100034363	Tmsb15b2
100034684	Cstdc5
100034729	Gm15114
100034748	A930017K11Rik
100036518	Vmn1r223
100036521	Umad1
100036568	Gm3373
100037258	Dnajc3
100037278	Niban3
100037282	Rsph3b
100037283	Rnaset2a
100038347	Fam174b
100038417	Spink13
100038489	Apela
100038538	Gm10767
100038570	Prcd
100038657	Myocos
100038725	Cep85l
100038847	Gm10406
100038854	Cstdc6
100038859	Olfr55
100038860	Olfr239
100038862	Btnl1
100038882	Isg15
100038909	Gm14548
100038927	Defa30
100038941	Vmn2r121
100038947	Sirpb1c
100038948	Mup9
100038949	Gm1979
100038967	Gm5591
100038977	Gm1993
100038992	Ubl5c
100039008	Mup10
100039014	Gm20737
100039014	Gm20772
100039014	Gm20777
100039014	Gm20831
100039014	Gm21425
100039014	Gm21440
100039028	Mup11
100039030	Gm2012
100039034	Gm20795
100039042	Eif1ad3
100039045	Gm10471
100039052	Eif1ad4
100039054	Mup12
100039060	Gm2026
100039065	Gm2030
100039087	Gm2042
100039089	Mup13
100039116	Mup14
100039120	Gm14525
100039123	Gm14295
100039139	Ccdc152
100039150	Mup15
100039177	Mup16
100039206	Mup17
100039239	Gm2115
100039240	Gm10058
100039315	Pramel51
100039319	H2ab1
100039324	Gm10147
100039377	Gm10096
100039441	Gm2237
100039452	Gm2244
100039467	Gm10487
100039479	Vmn1r186
100039550	Gm10486
100039551	Tgif2lx2
100039574	Gm20806
100039585	Gm14819
100039595	Gm20807
100039596	Tcf24
100039614	Gm20809
100039672	Msmp
100039681	Zcwpw2
100039707	Mthfsl
100039753	Gm20815
100039763	Gm2411
100039781	Hrct1
100039795	Ildr2
100039796	Tgtp2
100039801	Cldn24
100039810	Gm20816
100039863	Ccl27a
100039863	Gm13306
100039890	Gm15093
100039899	Tex13c2
100039913	Rhox2b
100039934	Gm15085
100039948	Rhox2c
100039953	Gfy
100039957	Taf6l
100039968	Tmem35b
100040016	Rhox2e
100040020	Samt1
100040020	Samt1b
100040022	Gm20822
100040031	Gm20823
100040048	Ccl27a
100040048	Ccl27b
100040049	Smim38
100040160	Gm20826
100040171	Gm20773
100040187	Gm20828
100040201	Gm10229
100040208	Gm2663
100040214	Gm10228
100040223	Gm20831
100040233	Gm10334
100040248	Gm11563
100040249	Krtap6-3
100040262	Gm20807
100040268	Olfr157
100040276	Gm11595
100040298	Rps8
