13179121	Y48G1C.13
13179322	Y48G8AL.16
13179386	Y71G12B.35
13179495	Y39G10AR.32
13179502	peel-1
13179543	Y23H5B.12
13179689	C45E1.5
13179692	K09H9.9
13179739	W05F2.8
13179817	C32E8.12
13179984	C41D11.10
13180049	B0041.11
13180133	W03G9.10
13180201	B0261.9
13180223	F48C1.11
13180274	C09D4.9
13180284	F59A3.12
13180285	F59A3.13
13180346	F56H1.10
13180429	B0025.5
13180513	T08B2.15
13180558	F26B1.8
13180657	ZC581.10
13180804	K10D3.8
13180816	M05B5.7
13181077	T28B8.4
13181209	F43G9.21
13181291	F55H12.7
13181313	F53B6.13
13181407	F36H2.6
13181455	C17E4.19
13181457	C17E4.20
13181488	F30A10.15
13181508	C41G7.15
13181551	K07A1.20
13181571	T05F1.15
13181593	C04F12.16
13181740	Y106G6D.5
13181810	F45H11.8
13181858	F59C6.18
13181893	T22A3.12
13181911	B0511.17
13182001	F49D11.11
13182023	Y52B11A.12
13182032	Y52B11A.19
13182034	Y52B11A.11
13182058	Y53H1A.7
13182072	F46A8.11
13182079	F36D1.13
13182080	F36D1.13
13182084	F36D1.15
13182087	spex-1
13182103	H25P06.5
13182108	M04D5.1
13182227	W04G5.16
13182245	F11A6.15
13182677	pals-10
13182703	F17B5.10
13182776	W05H12.4
13182797	Y87G2A.25
13182830	W09C5.12
13182878	W04A8.9
13182889	Y71A12B.24
13182890	Y71A12B.23
13182953	C37A5.6
13182954	C37A5.5
13182956	C37A5.3
13183089	tmem-107
13183282	C03H5.9
13183306	gvd-1
13183350	W04H10.5
13183351	W04H10.6
13183371	Y39F10C.3
13183656	K05F6.14
13183664	T07H3.8
13183688	ZC204.17
13183731	F36H5.12
13183734	F36H5.13
13183744	F36H5.14
13183772	C16C4.18
13183833	F59H6.14
13183846	F07E5.12
13183881	C33C12.12
13183925	ZK1240.11
13184004	D2062.13
13184158	B0454.26
13184191	Y25C1A.14
13184240	ZC239.22
13184261	F02E11.7
13184298	F14D2.19
13184322	T06D4.6
13184341	C16C8.22
13184345	C16C8.20
13184346	C16C8.21
13184428	F19B10.13
13184485	T24E12.13
13184534	K10G6.9
13184583	F31D5.7
13184588	C16A11.10
13184789	ZK546.19
13184806	T27F7.12
13184808	pigb-1
13184830	C27A2.12
13184965	EEED8.18
13185022	C17C3.24
13185051	C17G10.10
13185074	C25H3.17
13185194	F28B12.6
13185304	mks-2
13185313	T24H7.8
13185428	R05G9.5
13185579	C04A2.15
13185652	ZK1127.13
13185665	T02G5.15
13185759	srd-54
13185826	F35D2.6
13185919	srw-62
13186029	T05C12.15
13186048	M110.10
13186110	F14E5.8
13186158	F54C9.14
13186203	C34C6.9
13186205	C34C6.10
13186216	T01B7.13
13186373	nlp-78
13186374	C16D2.3
13186434	C06C3.12
13186446	Y51B9A.14
13186458	M176.9
