100034253	Gnl3l
100036765	Ccdc92
100049583	Trex1
100124593	Cxcr6
100125361	Zfp867
100125363	Fbxl13
100125364	C1h6orf120
100125367	C13h1orf74
100125368	Znf57l
100125370	Nadk
100125372	Ces1c
100125373	Pnrc2
100125374	Adat3
100125378	Nudcd3
100125595	Rs1
100126191	Rab1b
100126231	Mln
100134871	Hbbl1
100137086	Jmjd7
100145871	Adh5
100147704	Usp43
100151767	Nkapd1
100158223	Zfp786
100158225	Tedc2
100158232	Zfp9
100158233	Slc35a2
100169711	Paep
100169747	Phykpl
100174909	Smim11
100174910	C18h5orf63
100188933	Fam229b
100188934	Ctxn3
100188936	Ormdl1
100188937	Cox7c
100188944	Pnkd
100188984	Zfp951
100190895	Rhox3
100190936	Rnf123
100192205	Hsbp1l1
100192313	Atxn7l3b
100196907	Tmem59
100216475	Hexd
100233176	Gon7
100233176	Moap1
100233177	Zfp949
100233213	Insyn2a
100270669	Riiad1
100270678	Spns2
100270683	Tas1r2
100294508	KIAA0319l
100301568	Abo
100302372	Kiaa0040
100302373	Ctxn2
100302453	Mettl9
100302465	C1h10orf90
100303643	Fcgbp
100310845	Uty
100310874	Parpbp
100310875	Tas2r110
100310876	Tas2r136
100310877	Tas2r116
100310878	Tas2r106
100310879	Tas2r104
100310881	Tas2r129
100310885	Tas2r113
100312667	Vom1r9
100312668	Vom1r16
100312735	Vom1r103
100312751	Vom1r34
100312945	Vom1r17
100312982	Ddx3y
100312983	Kdm5d
100312984	Eif2s3y
100322884	AABR07064719.2
100322897	Prr30
100328908	Zfp831
100359478	Usf1
100359479	Hoatz
100359483	Cylc1
100359484	Zfp628
100359485	Ms4a18
100359495	Rpl37al1
100359505	LOC100359505
100359512	Vti1b
100359529	Immp2l
100359550	AC117299.1
100359558	Fam177a1
100359563	AABR07070957.1
100359592	Palm3
100359595	Tbc1d32
100359642	Chmp4b
100359656	LOC100359656
100359662	Ankdd1b
100359675	Alpp
100359678	Armcx4
100359680	Lpcat2
100359700	LOC100359700
100359714	Phf6
100359720	Ankrd31
100359753	Dnaaf3
