10178777	CG42835
10178781	CG42867
10178782	CG31808
10178784	CG42716
10178785	CG42832
10178787	CG42852
10178792	CG42694
10178793	CG42789
10178795	CG42762
10178796	CG42780
10178797	pre-mod(mdg4)-X
10178805	CG42654
10178806	CG42656
10178809	CG42854
10178812	CG42815
10178814	CG42806
10178816	pre-mod(mdg4)-U
10178817	CG42869
10178820	CG42704
10178822	CG42697
10178823	CG46457
10178824	CG42688
10178825	CG42650
10178828	CG42703
10178831	CG42846
10178832	pre-mod(mdg4)-W
10178835	CG42766
10178837	CG42740
10178839	CG42690
10178840	CG42837
10178844	CG42831
10178846	CG42661
10178847	CG42662
10178851	CG42857
10178852	CG42819
10178853	CG42866
10178857	CG42692
10178859	CG42728
10178861	pre-mod(mdg4)-T
10178862	CG42714
10178864	CG42711
10178866	CG42855
10178870	CG42727
10178873	CG42824
10178875	CG42752
10178877	CG42818
10178880	CG42853
10178885	pre-mod(mdg4)-Y
10178888	pre-mod(mdg4)-AD
10178889	CG42763
10178890	CG42713
10178891	B9d2
10178894	CG42809
10178897	CG42717
10178898	CG42705
10178899	CG42680
10178900	CG42758
10178901	CG42659
10178905	CG42826
10178906	CG42693
10178908	CG42782
10178909	CG42830
10178910	CG42834
10178911	CG42870
10178912	CG42779
10178913	CG42847
10178914	CG42876
10178916	CG42822
10178923	CG42753
10178926	CG42682
10178927	CG42851
10178928	CG42655
10178929	pre-mod(mdg4)-Z
10178930	CG42759
10178932	MtnE
10178933	CG42841
10178934	CG42828
10178935	CG42649
10178939	CG42660
10178940	CG42718
10178941	CG42811
10178943	CG42691
10178945	CG42710
10178946	CG42792
10178948	Mzt1
10178949	CG42681
10178950	pre-mod(mdg4)-V
10178951	CG42658
10178954	CG42798
10178957	CG42751
10178958	CG42814
10178960	pre-mod(mdg4)-AE
10178961	CG42808
10178963	CG42764
10178965	CG42833
10178968	CG42781
117294	Dsp1
117300	clt
117327	Gr98b
117331	VepD
117332	Rheb
117336	Gr98c
117338	Gr97a
117339	Gr94a
117342	CG32395
117343	Gr59d
117344	Gr58a
117345	Gr47b
117346	Gr39a
117347	Gr39b
117348	Gr28a
117349	Gr22f
117353	Pcyt1
117361	FASN2
117364	Hex-t1
117365	HBS1
117366	PIG-Q
117368	prt
117369	Desat1
117406	CG32396
117407	Tsp68C
117414	mRpS14
117419	Irbp
117459	TotZ
117460	TotX
117461	TotF
117462	TotC
117463	Ste12DOR
117464	He
117467	mthl11
